,0
1363,609639235
1364,609609905
1365,609543324
1366,609526344
1367,609516281
1368,609482172
1369,609458770
1370,609456782
1371,609452338
1372,600861875
1373,588453983
1374,609215423
1375,609207121
1376,609105306
1377,609043287
1378,603973966
1379,608954802
1380,608924885
1381,608913594
1382,608874172
1383,608848680
1384,608782843
1385,608648111
1386,608460494
1387,608425183
1388,608351740
1389,608079612
1390,608055305
1391,607633040
1392,607631134
1393,607507642
1394,607437782
1395,607415818
1396,607316179
1397,607228450
1398,607163155
1399,607101187
1400,607090414
1401,607058181
1402,607015388
1403,606923522
1404,606856652
1405,606852907
1406,606851648
1407,606793977
1408,606784489
1409,606677454
1410,606608630
1411,606475586
1412,603408998
1413,606343549
1414,596646489
1415,606130284
1416,605941408
1417,605932192
1418,561469510
1419,604367462
1420,605710904
1421,602921409
1422,605490778
1423,605286882
1424,605253761
1425,605117120
1426,604945551
1427,604912236
1428,604817724
1429,604810332
1430,604640645
1431,604597643
1432,604430185
1433,604257279
1434,604211845
1435,604196931
1436,604132937
1437,604098624
1438,604094049
1439,603991171
1440,603915303
1441,603870317
1442,603842843
1443,603790026
1444,603724750
1445,603624128
1446,603621483
1447,603489922
1448,603346446
1449,603288839
1450,603207961
1451,586798309
1452,603171241
1453,602887284
1454,602715804
1455,602643594
1456,578735668
1457,602462966
1458,602390449
1459,602331687
1460,602274926
1461,602245738
1462,602243092
1463,602161322
1464,602150915
1465,601991546
1466,601810147
1467,601759980
1468,601683804
1469,601676053
1470,601635187
1471,601630838
1472,599215308
1473,601557518
1474,601396812
1475,601325953
1476,601302998
1477,601221027
1478,601099334
1479,600971964
1480,600971241
1481,600570039
1482,600517769
1483,600471715
1484,600261531
1485,600096228
1486,599914551
1487,580342572
1488,598125699
1489,569823496
1490,599134154
1491,599110657
1492,599107849
1493,598928550
1494,598897989
1495,598801947
1496,598691177
1497,598480851
1498,598429043
1499,598377418
1500,598087727
1501,598044984
1502,597904256
1503,597675984
1504,597208362
1505,597140227
1506,597015950
1507,596832832
1508,596746228
1509,596584990
1510,596573064
1511,596441220
1512,596379005
1513,596345133
1514,596212274
1515,594463052
1516,595643024
1517,595429111
1518,595402363
1519,595198616
1520,595035102
1521,594735081
1522,594637642
1523,594599353
1524,594585322
1525,594570849
1526,594556250
1527,594254737
1528,594128138
1529,593914315
1530,593708889
1531,593254562
1532,593250542
1533,593200527
1534,593075478
1535,585420782
1536,592426168
1537,592303480
1538,592275252
1539,592123373
1540,591966644
1541,591894013
1542,591861222
1543,591795329
1544,591617761
1545,591590631
1546,591581253
1547,591491892
1548,591287047
1549,591150392
1550,584279894
1551,612731360
1552,612726661
1553,612662730
1554,612586517
1555,612541643
1556,518031439
1557,608937393
1558,570680202
1559,612281949
1560,612234277
1561,549114259
1562,612051599
1563,612030103
1564,612029715
1565,592800000
1566,612008287
1567,611998662
1568,598583300
1569,542594822
1570,611644676
1571,557970923
1572,606913020
1573,487024268
1574,605265858
1575,611226035
1576,611196160
1577,604391360
1578,610634775
1579,593779250
1580,610535568
1581,610308763
1582,565948359
1583,594576301
1584,610198985
1585,610197326
1586,610117054
1587,610009857
1588,609923505
1589,609917002
1590,606990363
1591,609627868
1592,598834960
1593,609462462
1594,605347892
1595,605215800
1596,609376016
1597,609364826
1598,584279894
1599,612731360
1600,612726661
1601,612662730
1602,612586517
1603,612541643
1604,518031439
1605,608937393
1606,570680202
1607,612281949
1608,612234277
1609,549114259
1610,612051599
1611,612030103
1612,612029715
1613,592800000
1614,612008287
1615,611998662
1616,598583300
1617,542594822
1618,611644676
1619,557970923
1620,606913020
1621,487024268
1622,605265858
1623,611226035
1624,611196160
1625,604391360
1626,610634775
1627,593779250
1628,610535568
1629,610308763
1630,565948359
1631,594576301
1632,610198985
1633,610197326
1634,610117054
1635,610009857
