marca,modelo_code,modelo_nome,ano,preco
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2015,43880
CHEVROLET,PRISMA,PRISMA Sed. LTZ 1.4 8V FlexPower 4p Aut.,2014,41981
CHEVROLET,S10,S10 Pick-Up Advantage 2.5 Flex 4x2 CD,2019,95193
CHEVROLET,S10,S10 Pick-Up Advantage 2.5 Flex 4x2 CD,2019,81690
CHEVROLET,S10,S10 Pick-Up Advantage 2.5 Flex 4x2 CD,2018,78898
CHEVROLET,S10,S10 Pick-Up Advantage 2.5 Flex 4x2 CD,2017,76104
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CD,2016,68899
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CD,2015,61834
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CD,2014,59966
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CD,2013,56673
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CD,2012,49288
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CS,2016,58598
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CS,2015,53748
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CS,2014,51670
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CS,2013,48011
CHEVROLET,S10,S10 Pick-Up LS 2.4 F.Power 4x2 CS,2012,43357
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x2 CD Dies. Mec.,2013,69213
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x2 CS Dies. Mec.,2013,58206
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2019,127747
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2019,112994
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2018,104223
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2017,101023
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2016,84901
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2015,80783
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2014,76309
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CD Dies. Mec.,2013,66284
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,2019,115953
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,2019,101700
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,2018,93439
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,2017,88554
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,2016,83917
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,2015,70962
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,2014,68281
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,2013,63491
CHEVROLET,S10,S10 Pick-Up LS 2.8 TDI 4x4 CS Diesel,2012,58862
CHEVROLET,S10,S10 Pick-Up LT 2.4 F.Power 4x2 CD,2014,63129
CHEVROLET,S10,S10 Pick-Up LT 2.4 F.Power 4x2 CD,2013,60064
CHEVROLET,S10,S10 Pick-Up LT 2.4 F.Power 4x2 CD,2012,53193
CHEVROLET,S10,S10 Pick-Up LT 2.4 F.Power 4x2 CS,2013,48085
CHEVROLET,S10,S10 Pick-Up LT 2.4 F.Power 4x2 CS,2012,45185
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x2 CD,2017,80714
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x2 CD,2016,74479
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x2 CD,2015,68949
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x2 CD Aut.,2019,109432
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x2 CD Aut.,2019,97202
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x2 CD Aut.,2018,94290
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x4 CD,2017,88447
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x4 CD,2016,82030
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x4 CD,2015,71022
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x4 CD Aut.,2019,118302
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x4 CD Aut.,2019,101772
CHEVROLET,S10,S10 Pick-Up LT 2.5 Flex 4x4 CD Aut.,2018,96429
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel,2017,100146
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel,2016,91366
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel,2015,82833
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel,2014,77651
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel,2013,70339
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel,2012,66192
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel Aut,2017,110258
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel Aut,2016,99144
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel Aut,2015,91217
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel Aut,2014,83037
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel Aut,2013,78459
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x2 CD Diesel Aut,2012,71799
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,2019,149064
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,2019,128876
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,2018,124426
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,2017,118763
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,2016,103009
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,2015,91356
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,2014,83056
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,2013,78652
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel,2012,73748
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,2019,149656
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,2019,130596
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,2018,125418
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,2017,119589
